Code,Occupation,Job Zone,Interest1,Interest2,Interest3
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",2,Realistic,,
53-1041.00,Aircraft Cargo Handling Supervisors,2,Enterprising,Realistic,
47-1011.03,Solar Energy Installation Managers,3,Enterprising,Realistic,
45-2091.00,Agricultural Equipment Operators,1,Realistic,,
53-7011.00,Conveyor Operators and Tenders,1,Realistic,Conventional,
35-2011.00,"Cooks, Fast Food",1,Realistic,Conventional,
51-9031.00,"Cutters and Trimmers, Hand",1,Realistic,Conventional,
35-9021.00,Dishwashers,1,Realistic,Conventional,
45-4021.00,Fallers,1,Realistic,Conventional,
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,Realistic,Conventional,
47-2043.00,Floor Sanders and Finishers,1,Realistic,,
35-2021.00,Food Preparation Workers,1,Realistic,Conventional,
45-2041.00,"Graders and Sorters, Agricultural Products",1,Realistic,Conventional,
51-9022.00,"Grinding and Polishing Workers, Hand",1,Realistic,Conventional,
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,Realistic,Conventional,
37-3011.00,Landscaping and Groundskeeping Workers,1,Realistic,Conventional,
51-6011.00,Laundry and Dry-Cleaning Workers,1,Realistic,Conventional,
37-2012.00,Maids and Housekeeping Cleaners,1,Realistic,Conventional,
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,Realistic,,
51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,Realistic,Conventional,
47-5051.00,"Rock Splitters, Quarry",1,Realistic,Conventional,
47-5071.00,"Roustabouts, Oil and Gas",1,Realistic,,
51-6031.00,Sewing Machine Operators,1,Realistic,Conventional,
51-9191.00,Adhesive Bonding Machine Operators and Tenders,2,Realistic,Conventional,
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,Realistic,Conventional,
39-2021.00,Animal Caretakers,2,Realistic,Conventional,
53-6031.00,Automotive and Watercraft Service Attendants,2,Realistic,Conventional,
39-6011.00,Baggage Porters and Bellhops,2,Realistic,Conventional,
51-3011.00,Bakers,2,Realistic,Conventional,
51-7011.00,Cabinetmakers and Bench Carpenters,2,Realistic,Conventional,
51-9011.00,Chemical Equipment Operators and Tenders,2,Realistic,Conventional,
51-8091.00,Chemical Plant and System Operators,2,Realistic,Conventional,
53-7061.00,Cleaners of Vehicles and Equipment,2,Realistic,Conventional,
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2,Realistic,Conventional,
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2,Realistic,Conventional,
47-2061.00,Construction Laborers,2,Realistic,Conventional,
35-2012.00,"Cooks, Institution and Cafeteria",2,Realistic,Conventional,
35-2015.00,"Cooks, Short Order",2,Realistic,Conventional,
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2,Realistic,Conventional,
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
53-7031.00,Dredge Operators,2,Realistic,,
47-2081.00,Drywall and Ceiling Tile Installers,2,Realistic,Conventional,
51-2022.00,Electrical and Electronic Equipment Assemblers,2,Realistic,Conventional,
51-2031.00,Engine and Other Machine Assemblers,2,Realistic,Conventional,
51-9194.00,Etchers and Engravers,2,Realistic,Conventional,
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,Realistic,,
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,Realistic,,
47-4031.00,Fence Erectors,2,Realistic,Conventional,
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2,Realistic,Conventional,
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,Realistic,Conventional,
51-3092.00,Food Batchmakers,2,Realistic,Conventional,
51-3093.00,Food Cooking Machine Operators and Tenders,2,Realistic,Conventional,
51-4071.00,Foundry Mold and Coremakers,2,Realistic,Conventional,
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,Realistic,Conventional,
53-7071.00,Gas Compressor and Gas Pumping Station Operators,2,Realistic,Conventional,
49-9099.01,Geothermal Technicians,2,Realistic,Conventional,
47-2121.00,Glaziers,2,Realistic,Conventional,
